id	filename	md5	size	state
0035a0fb-e955-4c44-8f1a-729eb3863370	TCGA-B3-3925-01Z-00-DX1.cb28f651-66c0-4746-a5df-b382d9d267c2.svs	6715e95751931a1bf17f40e4e1e06171	92969863	validated
004ea4e8-a135-47a4-8425-cac6b4754a3b	TCGA-AL-3467-01Z-00-DX1.89C0449A-A38F-4614-86FC-DDFD925086D7.svs	74ce45426fb61954a49c62885d49773a	408982183	validated
004f1158-03b4-4758-97df-85bc9beca18c	TCGA-CZ-4863-01Z-00-DX1.7f3da3a1-5d70-4d30-a9f3-80ab883cf9f6.svs	2ef959b4c646b0ee25ca45bf4dbeb1fa	972533820	validated
006918f5-fea3-4754-8fc8-4dfea81ec37b	TCGA-G7-7502-01Z-00-DX1.2ba28bc2-1b3a-415f-ba2b-26b2e76de731.svs	860230bba1c7af5a03bfff3b9fceca45	951454319	validated
006da332-e35c-488d-8824-01a201cba906	TCGA-BP-4807-01Z-00-DX1.c985d6a4-5104-4b37-b7ab-2d357b89bac5.svs	c3383d85d8c224f84b18693efa8069e1	1217994608	validated
00abb26a-8e00-4d29-88b8-9b5ac403eaea	TCGA-WK-A8XT-01Z-00-DX2.A636FC47-4502-42CB-AA7B-123A15C4DC9B.svs	ff86d1f542706e0b0ecabaa4fc36105e	1072393203	validated
01756fc1-3909-4ca3-bcbc-3901d5c5e7d9	TCGA-A4-7286-01Z-00-DX1.cce3e96e-f940-4279-a1c3-16811eb712ac.svs	c7f87df43f34124b096784416fd62cb6	296974275	validated
01faee79-77bf-4e3f-b26e-9d9d0ed259e7	TCGA-B0-5096-01Z-00-DX1.badbc354-928e-4f7c-9b3f-341154bafbac.svs	43fdff91d16797a3d9bbc07a6f1754bc	302586369	validated
02045b39-dcd7-415b-80ec-436457a4d3b6	TCGA-CZ-4865-01Z-00-DX1.54659e9f-398c-45d9-93c9-35a75ca62509.svs	ea861ab0763d9aab8d709fadd09a105d	784580626	validated
02251569-fd24-4ed8-8423-b169eb69e048	TCGA-BQ-5893-01Z-00-DX1.d68bdc5e-06ef-4e9c-bfe0-0fab07c36a58.svs	0df3bd1622fef345c3db3b60c46668bd	1083506087	validated
023fe658-d9db-42a5-b195-976760a63132	TCGA-B8-A54F-01Z-00-DX1.7C46D299-64F5-42C0-8226-A1AB4FF5C879.svs	739d7d361948eee476d1d09af554cb7b	1697443720	validated
02b7318f-fa4f-4856-8550-4b321ccef5a5	TCGA-BP-4355-01Z-00-DX1.d66c8a3b-0bc0-4a40-93e7-005bef5cf25c.svs	0f3b0719c2014704ece407712d7f4fff	830528228	validated
0324fcbe-e4fe-43e6-b543-3b0db74e5c64	TCGA-5P-A9KH-01Z-00-DX1.BC3B786A-28A7-46F0-9636-6937129D75F2.svs	04d4cc54e6f822dcda0881f1f5d41ca6	1623866250	validated
032906d7-69bc-42e5-bfc4-8e7973999a20	TCGA-2Z-A9JE-01Z-00-DX1.B2538A85-D0EA-4C50-BD07-1C59DD8208F6.svs	6456f7a1b6409cdc31fd5d098245807e	999202314	validated
03559182-08cd-4788-af81-c5a48dc9fa82	TCGA-CZ-4853-01Z-00-DX1.1e328b6f-eabf-48c6-aa23-dafaff4b88cc.svs	973db9ce33d17a3aa059b07e40b64771	600366706	validated
03b86f9c-97db-4b38-b514-96a73bb5276d	TCGA-HE-7128-01Z-00-DX1.29FBDF7D-24CE-44F8-B72F-1A403042F8E2.svs	acbed7142416d550d510d1dc3cc7dbc3	595890682	validated
040f15b5-d56a-4444-905b-50148b2bfb76	TCGA-AK-3443-01Z-00-DX1.bf067de8-9ca9-4be2-b064-2257ee323a09.svs	ceb2c12d1461fe138bbba988877317bc	222444089	validated
040fa11c-fe03-4cb0-8b15-11518e072a67	TCGA-A3-3365-01Z-00-DX2.f6512c55-1887-495f-b628-9ee203ad59e9.svs	d12174abc36af47924549dd30a94334e	337201768	validated
046e7251-d56c-403c-916f-b70cd0d244e8	TCGA-CJ-4637-01Z-00-DX1.5632396E-A880-4686-9E94-89E3F01AFBFB.svs	06bf0df1371eb49eaf27c8825dfb220b	899763249	validated
04b90155-930c-4546-a47b-da7674260009	TCGA-UW-A72L-01Z-00-DX1.0A459BE8-D799-441D-85C0-B02AF6EDC806.svs	f21daa9c3db9fd8355836c940f9b629b	985328290	validated
04dd0f57-0ad0-40a7-89b1-b4402981b798	TCGA-B0-4823-01Z-00-DX1.9a23a831-7fc7-404c-b195-b3b999b8dfe2.svs	f1edfa332a3295be38779d08446d7cde	1011880443	validated
04faeb32-5d2c-4efb-bcd1-06d9df97a0ad	TCGA-BP-5192-01Z-00-DX1.a907179e-7b54-4315-bed1-6f1f12609cc9.svs	e4a6b733ccafcd1b26989e08c0645148	760639490	validated
